Crop_Type,Temperature_C,Humidity_Percent,Soil_Moisture_Percent,Days_Since_Watering,Plant_Health_Score,Plant_Health_Status
Rice,28.5,40.0,28.1,5,27.8,Stressed
Rice,19.4,78.4,51.4,5,42.8,Stressed
Wheat,23.9,42.0,25.2,8,25.1,Stressed
Tomato,22.8,97.7,42.8,5,34.9,Stressed
Tomato,17.6,69.9,56.9,4,41.3,Stressed
Corn,31.6,26.7,25.9,5,10.4,Stressed
Tomato,22.6,78.3,23.0,7,21.2,Stressed
Corn,23.9,53.1,47.4,4,42.6,Stressed
Wheat,24.2,73.9,48.0,4,44.6,Stressed
Rice,23.7,59.8,43.7,4,33.3,Stressed
Rice,28.2,54.7,70.6,2,54.1,Moderate
Rice,21.3,56.2,44.6,5,20.4,Stressed
Tomato,31.1,42.4,48.3,3,29.8,Stressed
Wheat,21.4,53.4,46.3,5,24.3,Stressed
Tomato,24.8,40.6,42.2,4,26.3,Stressed
Tomato,17.2,52.9,32.3,8,14.2,Stressed
Wheat,31.4,62.9,37.6,5,25.0,Stressed
Wheat,33.0,75.9,8.4,8,3.2,Stressed
Wheat,29.3,82.3,54.3,3,40.4,Stressed
Wheat,26.0,59.8,67.3,3,56.6,Moderate
Rice,24.8,43.1,58.8,4,38.2,Stressed
Soybeans,15.6,59.2,94.5,1,54.0,Moderate
Soybeans,16.9,57.6,62.8,4,29.3,Stressed
Wheat,29.5,79.8,46.7,3,44.8,Stressed
Soybeans,23.9,73.1,45.0,4,24.7,Stressed
Soybeans,16.8,63.5,63.0,4,35.3,Stressed
Wheat,16.6,82.8,46.9,4,34.1,Stressed
Soybeans,28.8,52.4,22.6,6,17.3,Stressed
Tomato,30.2,69.4,52.2,3,33.7,Stressed
Corn,15.8,52.4,38.8,6,19.5,Stressed
Corn,25.9,52.9,40.3,5,26.7,Stressed
Wheat,27.3,29.0,48.8,4,33.8,Stressed
Rice,21.5,61.5,35.7,6,26.2,Stressed
Wheat,32.4,61.9,36.1,4,19.9,Stressed
Rice,22.9,57.9,74.0,1,59.6,Moderate
Corn,14.7,66.8,52.1,5,31.5,Stressed
Wheat,23.8,75.0,28.9,7,22.3,Stressed
Tomato,33.2,59.7,52.4,2,28.3,Stressed
Soybeans,22.9,69.1,83.3,1,64.1,Moderate
Rice,18.7,65.6,56.0,4,43.6,Stressed
Soybeans,28.8,76.1,68.8,1,47.3,Stressed
Soybeans,26.6,68.0,76.2,0,56.2,Moderate
Wheat,25.0,87.3,64.8,3,49.7,Stressed
Soybeans,27.9,64.0,26.4,6,23.0,Stressed
Tomato,20.8,45.9,47.6,3,26.7,Stressed
Soybeans,21.4,78.9,45.9,5,29.5,Stressed
Wheat,29.4,69.6,67.2,1,41.6,Stressed
Tomato,19.2,67.1,30.5,7,21.2,Stressed
Corn,34.7,36.9,39.7,4,19.0,Stressed
Soybeans,32.4,82.3,40.7,4,36.9,Stressed
Wheat,18.1,75.0,59.2,4,38.6,Stressed
Corn,33.9,64.7,48.3,3,25.7,Stressed
Corn,25.9,17.3,32.6,5,21.8,Stressed
Rice,33.3,54.9,28.1,4,19.6,Stressed
Tomato,25.8,88.7,54.2,3,46.5,Stressed
Soybeans,23.9,67.2,39.3,6,29.9,Stressed
Wheat,23.3,41.9,54.1,4,45.6,Stressed
Rice,10.3,51.6,73.3,3,24.4,Stressed
Tomato,30.6,54.0,16.6,6,10.9,Stressed
Rice,20.8,76.9,49.4,5,31.4,Stressed
Tomato,30.8,37.4,25.5,6,15.2,Stressed
Tomato,35.0,75.9,46.0,2,21.5,Stressed
Soybeans,21.5,71.8,56.1,4,36.3,Stressed
Tomato,21.2,93.6,57.5,3,47.3,Stressed
Rice,31.0,68.0,14.6,7,0.0,Stressed
Tomato,22.2,41.4,35.2,6,24.0,Stressed
Soybeans,32.9,59.3,31.4,4,11.9,Stressed
Soybeans,20.9,45.1,20.2,7,8.8,Stressed
Rice,33.6,65.8,21.1,5,4.1,Stressed
Corn,23.2,86.1,75.3,1,59.0,Moderate
Corn,27.0,47.1,70.9,2,48.2,Stressed
Tomato,30.9,74.0,31.8,5,12.0,Stressed
Wheat,28.1,50.7,64.1,1,45.3,Stressed
Tomato,31.4,36.7,76.4,0,42.9,Stressed
Rice,16.3,84.0,83.2,2,57.4,Moderate
Rice,22.6,63.5,59.3,3,46.4,Stressed
Rice,25.4,67.4,46.7,4,43.3,Stressed
Rice,20.4,72.9,59.0,4,41.9,Stressed
Rice,30.8,34.5,46.1,3,32.7,Stressed
Soybeans,21.9,56.0,16.9,8,20.8,Stressed
Corn,20.4,35.4,31.3,7,21.8,Stressed
Rice,30.6,52.1,39.8,4,29.3,Stressed
Wheat,18.7,77.2,5.0,10,9.1,Stressed
Wheat,19.0,66.7,66.5,3,46.8,Stressed
Wheat,28.0,50.7,35.5,5,26.7,Stressed
Wheat,33.1,60.4,28.2,5,9.8,Stressed
Soybeans,26.0,57.8,30.1,6,24.0,Stressed
Wheat,15.3,64.7,51.8,5,34.9,Stressed
Rice,29.1,50.6,43.9,4,21.5,Stressed
Tomato,21.4,58.2,39.1,6,30.6,Stressed
Wheat,31.7,62.3,51.3,3,33.6,Stressed
Soybeans,22.7,66.4,86.4,1,59.4,Moderate
Soybeans,31.9,63.3,42.9,3,39.9,Stressed
Wheat,22.5,35.4,48.6,4,36.7,Stressed
Tomato,20.9,41.1,58.9,4,46.2,Stressed
Wheat,13.5,69.4,34.1,9,14.7,Stressed
Soybeans,21.0,56.2,40.4,6,36.8,Stressed
Corn,26.1,53.3,51.4,4,35.5,Stressed
Rice,25.6,56.2,19.9,7,16.4,Stressed
Soybeans,28.7,56.2,59.8,2,41.0,Stressed
Wheat,32.5,33.5,33.3,4,8.4,Stressed
Rice,25.2,85.9,30.8,5,27.5,Stressed
Wheat,25.4,58.3,9.6,7,8.0,Stressed
Wheat,31.7,60.2,45.0,4,28.8,Stressed
Corn,26.4,61.2,46.9,4,26.6,Stressed
Rice,19.5,74.4,43.4,5,32.6,Stressed
Rice,21.9,70.3,90.0,1,70.5,Moderate
Corn,12.2,58.9,92.4,1,42.9,Stressed
Soybeans,19.4,46.9,75.2,1,48.4,Stressed
Wheat,14.9,78.6,79.7,2,47.3,Stressed
Tomato,27.1,60.8,42.7,5,40.6,Stressed
Wheat,32.3,68.9,34.8,4,24.3,Stressed
Wheat,19.4,43.7,14.0,9,6.5,Stressed
Soybeans,19.6,69.7,63.5,4,43.3,Stressed
Wheat,30.7,38.6,31.5,5,22.5,Stressed
Corn,22.3,54.0,57.5,3,45.2,Stressed
Corn,26.5,62.0,41.1,4,34.6,Stressed
Rice,29.5,86.1,35.7,4,34.6,Stressed
Tomato,20.8,69.9,38.6,5,28.1,Stressed
Wheat,20.9,81.6,38.5,6,35.4,Stressed
Wheat,22.0,66.9,65.2,3,50.7,Moderate
Soybeans,15.7,43.4,54.0,5,24.9,Stressed
Corn,27.9,43.4,57.1,2,35.7,Stressed
Tomato,28.6,71.4,17.7,6,12.6,Stressed
Rice,25.5,45.0,35.7,6,29.3,Stressed
Corn,33.2,36.8,29.3,4,8.1,Stressed
Rice,23.4,45.4,51.2,3,38.4,Stressed
Soybeans,28.7,64.0,80.4,0,48.1,Stressed
Soybeans,27.9,48.1,49.2,4,27.4,Stressed
Wheat,20.2,78.8,84.4,0,66.3,Moderate
Tomato,31.9,66.4,47.9,3,28.5,Stressed
Rice,25.8,62.8,48.8,4,36.6,Stressed
Corn,30.8,65.8,39.7,5,31.7,Stressed
Soybeans,17.2,69.1,45.6,5,26.6,Stressed
Wheat,25.7,69.3,72.8,1,65.0,Moderate
Wheat,22.2,47.7,62.8,2,36.8,Stressed
Rice,19.9,78.9,61.7,4,49.9,Stressed
Soybeans,33.5,69.4,43.4,4,29.6,Stressed
Tomato,26.2,54.1,36.2,6,35.2,Stressed
Soybeans,16.1,71.6,78.4,1,45.8,Stressed
Rice,22.0,40.0,48.6,4,35.4,Stressed
Rice,30.6,72.8,55.2,2,35.7,Stressed
Soybeans,19.9,64.3,69.2,3,54.1,Moderate
Rice,19.3,27.8,55.7,5,28.4,Stressed
Soybeans,24.1,90.0,45.1,4,37.9,Stressed
Corn,27.8,40.4,10.5,8,10.7,Stressed
Soybeans,20.6,68.6,68.6,3,47.8,Stressed
Soybeans,27.3,81.2,5.0,9,15.3,Stressed
Rice,25.2,20.8,50.1,3,34.3,Stressed
Rice,25.9,63.5,51.1,4,41.1,Stressed
Wheat,10.6,73.3,41.3,8,9.8,Stressed
Wheat,25.1,76.7,53.0,4,46.6,Stressed
Corn,23.5,78.3,25.4,7,23.4,Stressed
Wheat,27.3,73.9,55.0,3,43.1,Stressed
Soybeans,21.1,55.0,40.9,5,27.6,Stressed
Rice,22.8,66.9,24.0,7,11.7,Stressed
Wheat,28.2,90.2,45.3,4,26.5,Stressed
Wheat,33.7,79.0,29.5,5,10.5,Stressed
Corn,17.1,50.0,47.8,6,23.2,Stressed
Corn,28.1,76.0,40.6,4,29.9,Stressed
Soybeans,32.3,80.3,49.2,3,31.2,Stressed
Rice,29.2,46.8,59.3,2,39.8,Stressed
Corn,31.9,59.7,60.4,2,37.8,Stressed
Wheat,21.7,55.7,54.5,4,33.3,Stressed
Rice,32.4,73.9,52.5,3,45.0,Stressed
Rice,20.7,53.9,64.8,3,46.9,Stressed
Wheat,25.3,50.6,54.3,3,38.4,Stressed
Corn,22.0,76.4,69.0,2,50.5,Moderate
Wheat,22.2,41.9,47.4,4,24.7,Stressed
Rice,14.7,62.8,46.2,6,20.9,Stressed
Tomato,13.2,49.1,76.1,3,34.5,Stressed
Tomato,32.1,76.4,45.3,4,37.7,Stressed
Soybeans,14.2,50.8,78.9,2,40.3,Stressed
Wheat,26.5,60.6,37.3,6,34.7,Stressed
Wheat,17.2,24.1,43.2,6,29.1,Stressed
Soybeans,19.9,60.0,58.9,4,34.4,Stressed
Soybeans,29.1,57.4,35.8,3,24.0,Stressed
Soybeans,26.0,61.1,41.9,5,45.2,Stressed
Rice,24.2,79.5,38.1,7,33.0,Stressed
Wheat,31.9,69.0,53.1,3,30.8,Stressed
Rice,23.3,65.9,11.6,9,8.4,Stressed
Soybeans,32.4,48.9,35.0,4,15.3,Stressed
Wheat,18.6,92.1,60.9,4,46.9,Stressed
Rice,17.9,32.4,51.2,5,17.2,Stressed
Rice,24.2,42.1,53.8,3,40.1,Stressed
Soybeans,25.0,48.5,31.7,6,28.1,Stressed
Wheat,19.8,62.9,17.3,9,5.9,Stressed
Soybeans,23.3,60.7,53.3,4,39.7,Stressed
Wheat,33.2,48.7,5.0,11,0.0,Stressed
Tomato,22.6,62.6,50.7,4,45.3,Stressed
Corn,13.4,77.4,65.1,5,39.2,Stressed
Corn,14.5,60.8,93.1,0,50.9,Moderate
Corn,37.5,41.1,22.1,5,0.0,Stressed
Soybeans,33.7,58.4,14.3,7,0.0,Stressed
Tomato,22.4,47.7,49.3,3,39.6,Stressed
Wheat,29.9,39.0,46.3,4,21.2,Stressed
Rice,26.6,60.6,81.8,1,61.8,Moderate
Wheat,32.6,46.4,25.6,5,10.3,Stressed
Rice,18.6,55.0,71.5,3,56.2,Moderate
Wheat,18.7,66.3,72.4,3,48.7,Stressed
Tomato,32.9,64.8,42.9,3,30.7,Stressed
Rice,16.0,78.1,64.0,4,36.0,Stressed
Soybeans,25.4,34.2,54.5,3,46.1,Stressed
Wheat,24.7,56.9,23.1,8,25.3,Stressed
Wheat,29.7,75.2,55.1,3,41.1,Stressed
Rice,25.8,34.8,45.8,5,46.2,Stressed
Soybeans,24.2,57.4,52.4,4,44.6,Stressed
Soybeans,22.7,63.0,60.4,2,48.6,Stressed
Tomato,19.0,43.6,56.2,4,26.6,Stressed
Soybeans,24.0,49.9,40.2,4,33.2,Stressed
Soybeans,32.0,42.2,56.1,1,30.9,Stressed
Soybeans,23.3,64.2,72.6,2,59.1,Moderate
Corn,33.4,22.5,48.5,3,20.5,Stressed
Tomato,29.4,48.5,14.0,7,10.5,Stressed
Wheat,27.9,49.2,17.7,7,8.7,Stressed
Rice,24.0,73.6,62.2,3,45.5,Stressed
Wheat,21.2,36.6,64.8,3,45.9,Stressed
Tomato,35.1,79.4,46.1,2,16.8,Stressed
Rice,29.8,71.2,28.3,5,16.5,Stressed
Tomato,24.2,75.7,73.8,2,54.7,Moderate
Soybeans,35.2,53.6,33.4,4,17.0,Stressed
Rice,28.8,53.7,50.7,3,30.4,Stressed
Soybeans,16.5,48.2,42.2,7,23.6,Stressed
Wheat,22.4,68.7,57.4,3,47.1,Stressed
Wheat,29.4,54.7,43.8,3,23.0,Stressed
Rice,34.0,47.9,35.3,4,20.5,Stressed
Rice,39.2,54.7,48.8,1,13.6,Stressed
Tomato,25.2,65.6,47.6,4,40.3,Stressed
Tomato,28.7,41.0,29.1,6,23.7,Stressed
Soybeans,21.3,45.7,76.1,2,49.7,Stressed
Rice,19.7,80.2,80.1,1,54.8,Moderate
Wheat,14.9,46.4,91.3,0,42.1,Stressed
Tomato,27.3,81.7,36.3,5,43.9,Stressed
Tomato,32.6,52.1,30.7,4,21.2,Stressed
Wheat,29.7,39.7,32.8,5,18.0,Stressed
Tomato,25.5,80.6,33.2,6,31.9,Stressed
Soybeans,32.3,86.2,46.8,2,24.1,Stressed
Rice,42.7,51.3,5.0,6,0.0,Stressed
Wheat,20.0,76.4,35.3,7,26.3,Stressed
Rice,10.5,61.5,56.3,6,20.7,Stressed
Tomato,27.1,62.4,43.4,4,34.1,Stressed
Tomato,31.5,64.7,38.9,3,31.8,Stressed
Wheat,15.7,60.3,72.0,2,53.4,Moderate
Soybeans,30.0,61.5,14.5,7,10.9,Stressed
Corn,23.0,60.1,70.7,2,58.1,Moderate
Wheat,27.0,51.4,5.0,11,6.0,Stressed
Corn,19.5,49.4,47.1,5,31.0,Stressed
Corn,19.1,42.8,5.0,10,10.5,Stressed
Soybeans,18.4,31.7,49.6,5,23.6,Stressed
Corn,29.0,58.6,29.4,7,20.6,Stressed
Corn,21.3,47.4,68.4,1,54.6,Moderate
Soybeans,26.6,35.4,58.8,2,43.6,Stressed
Corn,25.2,47.7,44.8,4,35.4,Stressed
Corn,17.9,52.0,69.2,3,43.0,Stressed
Corn,25.5,51.8,58.6,2,41.7,Stressed
Wheat,26.4,80.9,63.2,3,47.9,Stressed
Wheat,31.4,51.1,23.6,6,19.9,Stressed
Wheat,34.0,81.7,51.7,2,31.2,Stressed
Soybeans,18.9,48.7,46.3,6,30.5,Stressed
Tomato,27.1,67.2,56.2,3,35.3,Stressed
Corn,11.7,45.0,73.7,3,38.9,Stressed
Corn,30.1,85.7,33.2,5,28.2,Stressed
Soybeans,31.6,78.4,20.8,5,21.5,Stressed
Corn,9.0,71.2,93.3,2,50.1,Moderate
Wheat,23.0,89.7,48.0,4,34.7,Stressed
Tomato,19.6,73.1,48.1,5,39.8,Stressed
Rice,22.9,66.6,60.4,3,36.1,Stressed
Corn,21.8,39.7,90.4,0,58.0,Moderate
Wheat,24.7,24.7,32.2,6,25.2,Stressed
Rice,30.9,40.6,13.7,8,11.1,Stressed
Tomato,23.1,34.7,42.4,5,36.7,Stressed
Rice,19.1,48.0,56.1,5,37.1,Stressed
Wheat,23.8,76.4,63.7,2,50.0,Stressed
Rice,23.5,44.0,62.4,3,47.7,Stressed
Soybeans,24.5,53.1,72.4,2,54.6,Moderate
Rice,21.2,60.9,58.5,5,42.3,Stressed
Corn,27.2,61.4,38.3,5,20.0,Stressed
Corn,32.8,51.1,71.8,1,53.2,Moderate
Soybeans,17.4,77.8,86.2,1,65.0,Moderate
Wheat,27.7,60.4,44.8,4,40.3,Stressed
Corn,30.8,62.6,52.3,3,34.7,Stressed
Tomato,22.4,97.1,39.1,5,24.5,Stressed
Corn,32.5,86.1,62.5,2,40.0,Stressed
Corn,24.6,60.3,54.7,4,44.8,Stressed
Wheat,18.2,68.2,47.0,4,23.6,Stressed
Rice,17.4,46.2,80.2,1,48.0,Stressed
Corn,29.7,28.7,33.0,4,22.9,Stressed
Soybeans,29.2,70.2,58.3,1,39.2,Stressed
Rice,34.4,44.1,32.3,4,6.9,Stressed
Tomato,29.0,68.5,59.5,2,41.6,Stressed
Wheat,24.4,92.2,12.1,8,13.6,Stressed
Tomato,27.9,31.9,15.9,7,3.2,Stressed
Rice,25.4,25.8,65.9,3,43.5,Stressed
Rice,23.0,46.2,44.1,5,29.8,Stressed
Rice,21.7,72.2,31.9,7,24.2,Stressed
Tomato,14.7,78.8,85.5,1,54.0,Moderate
Rice,20.5,72.1,62.6,3,48.5,Stressed
Tomato,24.9,64.3,58.6,2,45.3,Stressed
Rice,8.8,60.3,93.5,1,43.1,Stressed
Soybeans,21.9,61.9,32.7,5,30.4,Stressed
Rice,30.5,77.8,5.0,8,9.2,Stressed
Tomato,33.1,50.3,50.9,3,25.4,Stressed
Corn,21.8,60.6,48.5,4,34.5,Stressed
Rice,21.6,42.7,54.1,4,29.2,Stressed
Corn,20.7,65.4,56.9,4,36.1,Stressed
Soybeans,21.6,60.3,45.0,5,36.3,Stressed
Wheat,31.9,98.8,46.9,3,36.1,Stressed
Soybeans,34.8,37.8,28.2,4,10.7,Stressed
Rice,14.9,74.1,69.0,4,39.6,Stressed
Corn,20.1,52.3,58.6,3,34.0,Stressed
Corn,13.8,72.4,72.0,3,45.6,Stressed
Tomato,24.8,71.2,69.2,1,57.7,Moderate
Corn,22.1,55.7,71.8,1,53.7,Moderate
Tomato,27.2,44.5,49.0,3,35.7,Stressed
Wheat,29.0,44.2,56.3,3,33.4,Stressed
Rice,28.3,61.6,66.8,2,47.5,Stressed
Tomato,15.1,49.2,48.3,6,25.2,Stressed
Wheat,24.8,56.5,27.6,5,28.0,Stressed
Corn,14.8,41.4,85.4,1,47.7,Stressed
Corn,35.4,67.6,23.6,4,10.3,Stressed
Wheat,22.9,46.6,39.7,5,26.5,Stressed
Corn,16.8,53.8,17.1,10,7.1,Stressed
Wheat,21.7,79.7,89.3,0,63.2,Moderate
Tomato,26.2,62.2,47.3,3,24.4,Stressed
Tomato,29.4,71.3,67.6,1,48.1,Stressed
Wheat,32.8,45.7,38.5,4,26.6,Stressed
Tomato,25.4,64.2,28.0,6,22.6,Stressed
Tomato,23.0,66.5,58.0,3,37.5,Stressed
Tomato,29.1,45.5,39.5,4,31.7,Stressed
Soybeans,28.9,60.9,47.9,3,40.2,Stressed
Rice,25.7,53.7,84.3,0,62.7,Moderate
Corn,29.9,64.1,15.5,6,7.5,Stressed
Soybeans,21.3,40.2,49.6,5,30.2,Stressed
Tomato,24.9,44.3,47.5,4,34.0,Stressed
Wheat,12.8,39.1,62.7,5,26.0,Stressed
Tomato,33.3,42.7,40.2,4,25.0,Stressed
Rice,22.0,50.6,28.7,8,24.6,Stressed
Tomato,33.4,67.7,42.1,3,15.3,Stressed
Wheat,21.1,61.4,56.0,4,43.9,Stressed
Rice,26.8,61.3,49.1,3,32.8,Stressed
Tomato,25.3,45.4,42.1,5,32.0,Stressed
Rice,21.4,59.7,47.6,4,35.7,Stressed
Corn,27.9,78.8,58.9,2,43.7,Stressed
Corn,32.7,64.4,20.0,6,18.3,Stressed
Tomato,35.7,72.2,21.0,5,17.4,Stressed
Rice,29.5,52.4,32.2,6,18.0,Stressed
Wheat,17.7,52.8,70.8,3,46.9,Stressed
Tomato,16.6,67.8,49.1,5,27.4,Stressed
Corn,31.8,45.9,47.0,2,22.1,Stressed
Corn,19.0,58.2,70.5,2,41.8,Stressed
Tomato,28.7,62.8,28.1,5,27.4,Stressed
Rice,25.8,54.1,33.8,6,24.3,Stressed
Corn,32.9,47.3,52.2,2,30.3,Stressed
Rice,28.1,50.2,54.2,3,39.4,Stressed
Corn,24.8,39.3,63.4,2,43.9,Stressed
Corn,37.4,64.2,21.3,5,2.4,Stressed
Soybeans,29.9,72.5,62.5,0,45.2,Stressed
Corn,28.3,52.4,30.1,6,21.7,Stressed
Wheat,20.9,101.1,29.5,6,26.3,Stressed
Tomato,18.1,48.6,72.4,2,45.6,Stressed
Tomato,23.4,48.9,57.6,4,42.9,Stressed
Rice,16.0,71.5,72.4,2,43.6,Stressed
Corn,23.1,69.3,54.6,4,46.0,Stressed
Wheat,29.8,70.0,53.8,2,39.9,Stressed
Rice,30.9,76.1,50.1,3,29.7,Stressed
Soybeans,22.9,46.0,68.4,1,50.4,Moderate
Rice,42.6,65.6,5.0,7,0.0,Stressed
Rice,32.6,39.0,41.7,4,18.3,Stressed
Corn,24.8,76.0,67.0,1,56.5,Moderate
Soybeans,31.8,74.9,36.9,4,21.2,Stressed
Rice,21.5,75.7,54.1,5,42.7,Stressed
Wheat,26.5,59.2,33.2,5,29.9,Stressed
Wheat,22.8,75.4,70.4,2,59.9,Moderate
Tomato,17.7,62.5,35.9,5,14.6,Stressed
Soybeans,28.2,80.7,52.5,3,41.4,Stressed
Soybeans,25.0,55.4,63.5,2,55.0,Moderate
Tomato,25.4,55.2,65.5,2,42.9,Stressed
Rice,24.8,66.4,73.5,1,60.2,Moderate
Soybeans,19.6,41.1,70.4,2,47.5,Stressed
Wheat,34.5,56.5,33.3,3,19.9,Stressed
Wheat,26.5,59.2,58.4,3,42.5,Stressed
Corn,23.4,40.0,16.1,8,13.2,Stressed
Soybeans,17.1,61.5,81.3,1,58.1,Moderate
Rice,33.4,67.4,42.3,3,27.2,Stressed
Tomato,30.5,72.5,58.2,2,35.4,Stressed
Tomato,25.0,37.5,41.2,5,32.7,Stressed
Rice,17.3,75.2,28.7,8,16.6,Stressed
Corn,35.0,28.9,46.9,3,19.5,Stressed
Tomato,22.8,46.4,53.2,3,31.6,Stressed
Soybeans,21.0,90.6,53.3,4,46.4,Stressed
Corn,24.7,62.3,57.3,3,49.0,Stressed
Soybeans,27.3,44.3,50.1,2,36.9,Stressed
Wheat,24.0,39.6,7.8,8,2.4,Stressed
Corn,4.7,41.0,73.6,5,22.2,Stressed
Tomato,26.5,45.8,43.9,4,33.3,Stressed
Corn,30.5,74.6,37.7,3,32.2,Stressed
Corn,19.7,68.2,37.0,6,33.3,Stressed
Corn,34.4,76.0,39.2,3,21.5,Stressed
Corn,30.2,44.1,25.8,6,13.4,Stressed
Soybeans,27.8,30.1,46.1,3,28.0,Stressed
Wheat,18.9,69.6,32.9,7,27.1,Stressed
Rice,26.7,59.0,32.2,5,23.3,Stressed
Corn,27.1,48.1,78.1,1,53.4,Moderate
Tomato,24.5,74.9,65.2,1,50.0,Stressed
Corn,30.3,79.5,21.1,6,9.1,Stressed
Tomato,22.8,85.9,31.6,6,22.1,Stressed
Soybeans,23.4,44.5,11.0,9,5.1,Stressed
Tomato,21.0,78.4,66.6,3,48.8,Stressed
Rice,22.3,65.8,5.0,10,6.7,Stressed
Wheat,24.1,50.7,32.2,5,33.8,Stressed
Tomato,23.9,78.1,65.4,3,51.9,Moderate
Tomato,23.6,46.7,52.7,4,27.7,Stressed
Wheat,30.5,50.6,40.1,3,24.3,Stressed
Rice,34.0,73.5,43.3,2,25.1,Stressed
Corn,17.3,50.8,67.3,2,35.9,Stressed
Tomato,33.9,66.1,33.6,4,16.1,Stressed
Wheat,29.0,52.5,53.4,3,43.0,Stressed
Soybeans,19.6,62.6,58.2,3,40.6,Stressed
Wheat,23.0,63.7,23.3,7,15.4,Stressed
Soybeans,26.7,45.6,40.6,5,30.1,Stressed
Rice,15.1,63.1,68.0,3,37.3,Stressed
Corn,24.5,52.1,32.9,6,31.2,Stressed
Wheat,28.2,45.7,40.2,3,29.1,Stressed
Tomato,20.5,43.3,57.8,3,32.4,Stressed
Rice,16.1,43.5,41.2,6,18.7,Stressed
Wheat,26.2,50.9,45.9,4,39.2,Stressed
Tomato,38.2,68.6,35.2,4,3.2,Stressed
Wheat,20.7,39.5,45.5,5,31.8,Stressed
Soybeans,20.9,61.3,42.6,5,25.4,Stressed
Wheat,23.8,65.6,53.2,5,45.1,Stressed
Wheat,34.4,75.0,22.4,5,4.0,Stressed
