city,store_name,manufacturer,brand,class,size,sku,price_bracket,year,month,value_sales,volume_sales,average_price
AL BAHA,HM No  77759  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,NAJMA,CANOLA,1.5L,NAJMA CANOLA 1.5L TWIN PACK,51-60,2022,12,61.2,1.2,51.0
YANBU,HM No  86154  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,BAYTNA,CANOLA,0.5L,BAYTNA CANOLA 0.5L,31-40,2024,1,303.8,9.8,31.0
HAIL,HM No  88175  GS-CENTER-HAIL MAIN RD  HAIL,SAHARA EDIBLES,RAWABI,COCONUT,0.2L,RAWABI COCONUT 0.2L PLUS,61-70,2022,6,42.7,0.7,61.0
TAIF,HM No  94699  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,ZAHRA,CORN,10L,ZAHRA CORN 10L PREMIUM,71-80,2024,12,312.0,3.9,80.0
DAMMAM,HM No  65514  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,GULF GOLD,SUNFLOWER,0.2L,GULF GOLD SUNFLOWER 0.2L TWIN PACK,61-70,2023,11,616.1,10.1,61.0
MAKKAH,HM No  66263  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,GULF GOLD,CANOLA,1.8L,GULF GOLD CANOLA 1.8L,81-90,2022,4,518.4,6.4,81.0
YANBU,HM No  72915  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,HILAL,COCONUT,0.2L,HILAL COCONUT 0.2L FAMILY PACK,41-50,2023,6,512.5,12.5,41.0
TABUK,HM No  54549  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,NOUR,VEGETABLE,1.8L,NOUR VEGETABLE 1.8L FAMILY PACK,91-100,2023,1,746.2,8.2,91.0
JEDDAH,HM No  67118  GS-CENTER-JEDDAH MAIN RD  JEDDAH,SAHARA EDIBLES,RIMAL,CORN,0.2L,RIMAL CORN 0.2L,101+,2023,6,686.8,6.8,101.0
MAKKAH,HM No  70557  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,RIMAL,VEGETABLE,0.5L,RIMAL VEGETABLE 0.5L ECO,101+,2022,5,565.6,5.6,101.0
RIYADH,HM No  96450  GS-CENTER-RIYADH MAIN RD  RIYADH,PALM & GRAIN GROUP,NAJMA,VEGETABLE,10L,NAJMA VEGETABLE 10L PREMIUM,41-50,2023,7,55.0,1.1,50.0
JEDDAH,HM No  93531  GS-CENTER-JEDDAH MAIN RD  JEDDAH,DESERT SUN CO,RIMAL,CORN,4.5L,RIMAL CORN 4.5L,51-60,2024,5,606.0,10.1,60.0
AL BAHA,HM No  76764  GS-CENTER-AL BAHA MAIN RD  AL BAHA,DESERT SUN CO,RAWABI,CORN,3L,RAWABI CORN 3L TWIN PACK,41-50,2023,11,355.0,7.1,50.0
JAZAN,HM No  94388  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,RIMAL,VEGETABLE,1L,RIMAL VEGETABLE 1L ECO,91-100,2022,5,263.9,2.9,91.0
TABUK,HM No  63774  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L PLUS,81-90,2023,8,1249.55,14.1,88.62
AL BAHA,HM No  64005  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,GULF GOLD,CANOLA,1L,GULF GOLD CANOLA 1L PREMIUM,101+,2023,2,80.8,0.8,101.0
TAIF,HM No  94092  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,HILAL,COCONUT,0.6L,HILAL COCONUT 0.6L,11-20$,2022,8,36.0,1.8,20.0
AL AHSA,HM No  54772  GS-CENTER-AL AHSA MAIN RD  AL AHSA,BLUE OASIS CO,RAWABI,VEGETABLE,0.75L,RAWABI VEGETABLE 0.75L FAMILY PACK,71-80,2023,7,1171.5,16.5,71.0
TAIF,HM No  59671  GS-CENTER-TAIF MAIN RD  TAIF,NOVA FOODS,ZAHRA,SUNFLOWER,0.75L,ZAHRA SUNFLOWER 0.75L TWIN PACK,91-100,2023,1,1865.5,20.5,91.0
AL KHARJ,HM No  66331  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,SABAYA,COCONUT,10L,SABAYA COCONUT 10L ECO,91-100,2024,10,210.0,2.1,100.0
HAIL,HM No  99496  GS-CENTER-HAIL MAIN RD  HAIL,BLUE OASIS CO,RIMAL,VEGETABLE,1.8L,RIMAL VEGETABLE 1.8L PREMIUM,81-90,2022,12,631.8,7.8,81.0
YANBU,HM No  79495  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,HILAL,CORN,10L,HILAL CORN 10L PREMIUM,81-90,2024,4,2034.0,22.6,90.0
TABUK,HM No  78827  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,LARA,COCONUT,1L,LARA COCONUT 1L PLUS,61-70,2024,2,73.2,1.2,61.0
DAMMAM,HM No  59884  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,RAWABI,COCONUT,9L,RAWABI COCONUT 9L TWIN PACK,21-30,2023,7,168.0,5.6,30.0
HAIL,HM No  85560  GS-CENTER-HAIL MAIN RD  HAIL,BLUE OASIS CO,RAWABI,CANOLA,0.75L,RAWABI CANOLA 0.75L ECO,71-80,2024,12,1398.7,19.7,71.0
RIYADH,HM No  87728  GS-CENTER-RIYADH MAIN RD  RIYADH,PALM & GRAIN GROUP,SABAYA,CANOLA,1.5L,SABAYA CANOLA 1.5L PLUS,71-80,2023,9,504.1,7.1,71.0
MAKKAH,HM No  98144  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,SABAYA,COCONUT,1L,SABAYA COCONUT 1L ECO,81-90,2022,7,202.5,2.5,81.0
HAIL,HM No  93835  GS-CENTER-HAIL MAIN RD  HAIL,PALM & GRAIN GROUP,GULF GOLD,SUNFLOWER,0.6L,GULF GOLD SUNFLOWER 0.6L PREMIUM,91-100,2022,7,373.1,4.1,91.0
AL AHSA,HM No  86987  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,ZAHRA,SUNFLOWER,0.6L,ZAHRA SUNFLOWER 0.6L ECO,31-40,2022,5,120.9,3.9,31.0
JAZAN,HM No  71453  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,SABAYA,CORN,1.5L,SABAYA CORN 1.5L ECO,51-60,2023,5,617.1,12.1,51.0
JEDDAH,HM No  80822  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NOVA FOODS,BAYTNA,CANOLA,1.5L,BAYTNA CANOLA 1.5L TWIN PACK,21-30,2024,1,1071.0,35.7,30.0
RIYADH,HM No  66205  GS-CENTER-RIYADH MAIN RD  RIYADH,AL HILAL INDUSTRIES,NAJMA,VEGETABLE,0.6L,NAJMA VEGETABLE 0.6L TWIN PACK,31-40,2023,11,89.9,2.9,31.0
JEDDAH,HM No  86960  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,SABAYA,CORN,10L,SABAYA CORN 10L PLUS,31-40,2024,10,144.0,3.6,40.0
MAKKAH,HM No  97078  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,GULF GOLD,CORN,0.5L,GULF GOLD CORN 0.5L PREMIUM,11-20$,2023,10,6.96,0.5,13.92
AL BAHA,HM No  74596  GS-CENTER-AL BAHA MAIN RD  AL BAHA,PALM & GRAIN GROUP,HILAL,CANOLA,4L,HILAL CANOLA 4L FAMILY PACK,41-50,2022,12,350.0,7.0,50.0
TABUK,HM No  94843  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,RIMAL,CANOLA,1.5L,RIMAL CANOLA 1.5L PREMIUM,71-80,2024,6,234.3,3.3,71.0
JEDDAH,HM No  83158  GS-CENTER-JEDDAH MAIN RD  JEDDAH,DESERT SUN CO,NAJMA,SUNFLOWER,2.9L,NAJMA SUNFLOWER 2.9L,71-80,2023,11,216.0,2.7,80.0
YANBU,HM No  96354  GS-CENTER-YANBU MAIN RD  YANBU,SAHARA EDIBLES,RAWABI,COCONUT,9L,RAWABI COCONUT 9L PREMIUM,51-60,2024,9,402.0,6.7,60.0
YANBU,HM No  80465  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,RIMAL,CORN,1.5L,RIMAL CORN 1.5L TWIN PACK,21-30,2023,8,84.0,2.8,30.0
TAIF,HM No  99183  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L ECO,61-70,2022,8,1001.0,14.3,70.0
HAIL,HM No  61917  GS-CENTER-HAIL MAIN RD  HAIL,BLUE OASIS CO,HILAL,CORN,10L,HILAL CORN 10L PLUS,61-70,2023,10,910.0,13.0,70.0
MAKKAH,HM No  68105  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NOVA FOODS,BAYTNA,COCONUT,0.5L,BAYTNA COCONUT 0.5L TWIN PACK,71-80,2023,9,710.0,10.0,71.0
TAIF,HM No  95259  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,SABAYA,SUNFLOWER,10L,SABAYA SUNFLOWER 10L,21-30,2023,4,231.0,7.7,30.0
JAZAN,HM No  95336  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,LARA,VEGETABLE,1.5L,LARA VEGETABLE 1.5L ECO,91-100,2024,6,1638.0,18.0,91.0
JAZAN,HM No  98885  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,NOUR,SUNFLOWER,1L,NOUR SUNFLOWER 1L PLUS,51-60,2022,2,107.1,2.1,51.0
MAKKAH,HM No  62621  GS-CENTER-MAKKAH MAIN RD  MAKKAH,DESERT SUN CO,ZAHRA,VEGETABLE,10L,ZAHRA VEGETABLE 10L FAMILY PACK,31-40,2022,4,356.0,8.9,40.0
MAKKAH,HM No  81732  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,RIMAL,VEGETABLE,4L,RIMAL VEGETABLE 4L PLUS,21-30,2022,5,15.0,0.5,30.0
TAIF,HM No  73650  GS-CENTER-TAIF MAIN RD  TAIF,SAHARA EDIBLES,LARA,CANOLA,9L,LARA CANOLA 9L PREMIUM,31-40,2023,1,104.0,2.6,40.0
RIYADH,HM No  86264  GS-CENTER-RIYADH MAIN RD  RIYADH,NAJDI CONSUMER,GULF GOLD,SUNFLOWER,0.5L,GULF GOLD SUNFLOWER 0.5L,101+,2023,8,191.9,1.9,101.0
YANBU,HM No  78866  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,GULF GOLD,CANOLA,1L,GULF GOLD CANOLA 1L ECO,21-30,2022,7,119.76,4.9,24.44
YANBU,HM No  54855  GS-CENTER-YANBU MAIN RD  YANBU,NOVA FOODS,GULF GOLD,COCONUT,10L,GULF GOLD COCONUT 10L PREMIUM,51-60,2022,4,90.0,1.5,60.0
JEDDAH,HM No  86573  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,RIMAL,VEGETABLE,10L,RIMAL VEGETABLE 10L PREMIUM,41-50,2024,7,60.0,1.2,50.0
YANBU,HM No  79014  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RIMAL,SUNFLOWER,1L,RIMAL SUNFLOWER 1L PREMIUM,101+,2022,10,2121.0,21.0,101.0
MAKKAH,HM No  56503  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,HILAL,CORN,4.5L,HILAL CORN 4.5L,31-40,2022,3,432.0,10.8,40.0
AL KHARJ,HM No  54919  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,SAHARA EDIBLES,NAJMA,SUNFLOWER,2.9L,NAJMA SUNFLOWER 2.9L FAMILY PACK,101+,2023,5,818.1,8.1,101.0
RIYADH,HM No  65170  GS-CENTER-RIYADH MAIN RD  RIYADH,NAJDI CONSUMER,LARA,SUNFLOWER,0.5L,LARA SUNFLOWER 0.5L FAMILY PACK,41-50,2023,11,114.8,2.8,41.0
AL AHSA,HM No  93331  GS-CENTER-AL AHSA MAIN RD  AL AHSA,AL HILAL INDUSTRIES,RAWABI,CANOLA,3L,RAWABI CANOLA 3L TWIN PACK,31-40,2023,3,912.0,22.8,40.0
JEDDAH,HM No  53908  GS-CENTER-JEDDAH MAIN RD  JEDDAH,SAHARA EDIBLES,LARA,VEGETABLE,9L,LARA VEGETABLE 9L PREMIUM,51-60,2023,2,600.0,10.0,60.0
YANBU,HM No  95133  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RAWABI,CORN,3L,RAWABI CORN 3L PREMIUM,81-90,2023,2,368.64,4.3,85.73
AL AHSA,HM No  52612  GS-CENTER-AL AHSA MAIN RD  AL AHSA,PALM & GRAIN GROUP,NOUR,VEGETABLE,1L,NOUR VEGETABLE 1L,21-30,2022,11,511.51,22.7,22.53
AL AHSA,HM No  88477  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,LARA,VEGETABLE,0.2L,LARA VEGETABLE 0.2L TWIN PACK,81-90,2024,11,1223.1,15.1,81.0
YANBU,HM No  68229  GS-CENTER-YANBU MAIN RD  YANBU,SAHARA EDIBLES,RIMAL,SUNFLOWER,4.5L,RIMAL SUNFLOWER 4.5L ECO,21-30,2023,6,27.0,0.9,30.0
JAZAN,HM No  71843  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,ZAHRA,COCONUT,1.5L,ZAHRA COCONUT 1.5L ECO,81-90,2023,11,1854.9,22.9,81.0
JAZAN,HM No  99840  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,SABAYA,CANOLA,1.5L,SABAYA CANOLA 1.5L PLUS,61-70,2022,7,30.5,0.5,61.0
AL KHARJ,HM No  50075  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,RAWABI,CANOLA,0.75L,RAWABI CANOLA 0.75L PREMIUM,61-70,2024,8,664.9,10.9,61.0
AL BAHA,HM No  78969  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,HILAL,CORN,3L,HILAL CORN 3L TWIN PACK,51-60,2023,12,108.0,1.8,60.0
YANBU,HM No  57957  GS-CENTER-YANBU MAIN RD  YANBU,NOVA FOODS,RIMAL,COCONUT,9L,RIMAL COCONUT 9L TWIN PACK,51-60,2024,1,708.0,11.8,60.0
AL KHARJ,HM No  76738  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,HILAL,CANOLA,2.9L,HILAL CANOLA 2.9L,31-40,2023,12,100.0,2.5,40.0
TABUK,HM No  83349  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,RAWABI,SUNFLOWER,2.9L,RAWABI SUNFLOWER 2.9L TWIN PACK,81-90,2024,3,243.0,2.7,90.0
JAZAN,HM No  62491  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,ZAHRA,CORN,10L,ZAHRA CORN 10L ECO,61-70,2024,5,959.0,13.7,70.0
RIYADH,HM No  68536  GS-CENTER-RIYADH MAIN RD  RIYADH,NAJDI CONSUMER,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L ECO,31-40,2023,9,756.0,18.9,40.0
YANBU,HM No  72618  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,BAYTNA,VEGETABLE,1.8L,BAYTNA VEGETABLE 1.8L ECO,61-70,2022,12,512.4,8.4,61.0
TAIF,HM No  87473  GS-CENTER-TAIF MAIN RD  TAIF,PALM & GRAIN GROUP,HILAL,SUNFLOWER,0.2L,HILAL SUNFLOWER 0.2L PLUS,81-90,2024,7,372.6,4.6,81.0
JAZAN,HM No  93495  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,SABAYA,CANOLA,0.6L,SABAYA CANOLA 0.6L PREMIUM,101+,2023,2,282.8,2.8,101.0
YANBU,HM No  56534  GS-CENTER-YANBU MAIN RD  YANBU,BLUE OASIS CO,NAJMA,COCONUT,1.8L,NAJMA COCONUT 1.8L FAMILY PACK,31-40,2022,8,200.0,5.0,40.0
TABUK,HM No  72187  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,ZAHRA,CORN,4.5L,ZAHRA CORN 4.5L PREMIUM,71-80,2023,11,800.0,10.0,80.0
MAKKAH,HM No  99768  GS-CENTER-MAKKAH MAIN RD  MAKKAH,BLUE OASIS CO,BAYTNA,CANOLA,4L,BAYTNA CANOLA 4L,41-50,2024,11,350.0,7.0,50.0
TABUK,HM No  64908  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,RAWABI,CANOLA,10L,RAWABI CANOLA 10L FAMILY PACK,21-30,2023,3,204.0,6.8,30.0
MAKKAH,HM No  69625  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NOVA FOODS,NAJMA,CORN,10L,NAJMA CORN 10L,51-60,2023,6,768.0,12.8,60.0
JAZAN,HM No  59540  GS-CENTER-JAZAN MAIN RD  JAZAN,AL HILAL INDUSTRIES,BAYTNA,SUNFLOWER,4L,BAYTNA SUNFLOWER 4L FAMILY PACK,31-40,2022,3,20.0,0.5,40.0
JEDDAH,HM No  89943  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,RIMAL,COCONUT,2.9L,RIMAL COCONUT 2.9L PREMIUM,31-40,2022,8,76.0,1.9,40.0
AL BAHA,HM No  66644  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,LARA,CANOLA,10L,LARA CANOLA 10L ECO,51-60,2024,9,1848.0,30.8,60.0
DAMMAM,HM No  54840  GS-CENTER-DAMMAM MAIN RD  DAMMAM,BLUE OASIS CO,NOUR,VEGETABLE,1L,NOUR VEGETABLE 1L FAMILY PACK,71-80,2024,5,326.6,4.6,71.0
YANBU,HM No  69799  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,RAWABI,SUNFLOWER,0.5L,RAWABI SUNFLOWER 0.5L TWIN PACK,71-80,2024,6,1874.4,26.4,71.0
AL AHSA,HM No  69390  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NAJDI CONSUMER,NAJMA,SUNFLOWER,1L,NAJMA SUNFLOWER 1L,101+,2024,12,3434.0,34.0,101.0
RIYADH,HM No  89741  GS-CENTER-RIYADH MAIN RD  RIYADH,BLUE OASIS CO,LARA,COCONUT,4L,LARA COCONUT 4L PLUS,41-50,2024,4,960.0,19.2,50.0
AL AHSA,HM No  66425  GS-CENTER-AL AHSA MAIN RD  AL AHSA,SAHARA EDIBLES,ZAHRA,CANOLA,1L,ZAHRA CANOLA 1L ECO,11-20$,2024,6,98.0,4.9,20.0
