Age,Salary,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Residence_Type,Previous_Default,Loan_Approved
52,75180,611,22569,48 months,Employed,Mortgage,Yes,No
18,43710,358,16190,12 months,Self-Employed,Mortgage,No,No
52,49486,334,47752,36 months,Self-Employed,Mortgage,Yes,Yes
54,91907,744,37327,12 months,Self-Employed,Mortgage,Yes,No
64,148876,392,47070,36 months,Self-Employed,Rented,No,Yes
31,91895,506,25389,12 months,Unemployed,Mortgage,Yes,Yes
20,84435,652,45197,48 months,Unemployed,Owned,Yes,Yes
18,60631,631,7261,48 months,Self-Employed,Rented,No,No
22,149038,458,33369,36 months,Employed,Rented,Yes,No
43,121532,323,31512,12 months,Self-Employed,Mortgage,Yes,No
31,40103,703,11716,36 months,Self-Employed,Rented,Yes,No
56,84772,815,26259,48 months,Employed,Mortgage,Yes,Yes
44,146108,663,33933,12 months,Unemployed,Owned,Yes,No
26,34382,681,46689,12 months,Self-Employed,Mortgage,Yes,Yes
32,104291,831,9378,36 months,Self-Employed,Rented,Yes,Yes
32,121195,451,45583,24 months,Unemployed,Owned,No,Yes
43,23756,719,24835,36 months,Unemployed,Mortgage,No,No
59,40609,549,34033,48 months,Employed,Owned,Yes,Yes
30,134074,416,29000,48 months,Unemployed,Owned,Yes,Yes
49,36478,811,15332,48 months,Unemployed,Rented,No,No
56,120978,634,47604,48 months,Unemployed,Owned,No,Yes
49,59666,717,7800,48 months,Employed,Rented,No,No
21,95683,594,34538,24 months,Unemployed,Owned,No,No
47,119097,670,35119,12 months,Unemployed,Mortgage,No,No
54,144714,485,13333,36 months,Employed,Owned,Yes,Yes
40,120420,545,10410,36 months,Unemployed,Mortgage,No,No
56,91315,567,22839,48 months,Unemployed,Mortgage,No,No
62,97834,536,35519,36 months,Employed,Owned,No,No
32,146205,829,10808,48 months,Self-Employed,Mortgage,Yes,No
60,34153,320,11796,24 months,Employed,Owned,Yes,Yes
46,129415,819,26180,24 months,Unemployed,Owned,Yes,No
53,96325,399,48056,12 months,Unemployed,Mortgage,Yes,Yes
30,129701,777,22709,24 months,Unemployed,Mortgage,Yes,No
49,32999,597,22543,24 months,Employed,Rented,Yes,Yes
24,75318,825,42418,12 months,Unemployed,Mortgage,No,No
39,20814,633,34075,36 months,Unemployed,Rented,Yes,Yes
45,135033,301,42755,48 months,Employed,Mortgage,Yes,No
19,96077,674,42465,48 months,Self-Employed,Owned,No,Yes
59,110474,592,35502,36 months,Self-Employed,Mortgage,Yes,Yes
62,22443,617,21724,12 months,Unemployed,Owned,No,Yes
23,95993,801,8828,36 months,Employed,Owned,No,No
45,95916,680,22087,24 months,Unemployed,Owned,Yes,Yes
45,93319,313,17605,12 months,Employed,Rented,No,Yes
61,145885,803,36337,12 months,Employed,Mortgage,No,Yes
61,129777,530,10482,12 months,Self-Employed,Owned,No,Yes
37,37368,383,32005,48 months,Self-Employed,Owned,No,No
47,35328,429,27760,36 months,Employed,Rented,Yes,Yes
28,76942,444,10463,12 months,Unemployed,Mortgage,No,Yes
45,111751,327,9912,12 months,Self-Employed,Mortgage,Yes,Yes
42,119131,365,9648,12 months,Unemployed,Rented,No,No
56,47306,462,38623,36 months,Self-Employed,Rented,No,Yes
50,105451,528,40634,48 months,Self-Employed,Mortgage,No,Yes
18,59915,560,49602,24 months,Unemployed,Rented,Yes,Yes
44,57219,748,8112,48 months,Self-Employed,Mortgage,Yes,Yes
30,100879,723,27054,12 months,Self-Employed,Mortgage,Yes,No
58,131939,759,9492,48 months,Unemployed,Owned,No,Yes
20,84644,600,27207,48 months,Self-Employed,Owned,No,Yes
56,80279,602,20114,24 months,Self-Employed,Mortgage,No,No
23,73028,586,39285,36 months,Self-Employed,Mortgage,No,No
25,124263,694,21018,36 months,Unemployed,Mortgage,Yes,No
44,20126,309,26386,48 months,Employed,Mortgage,No,Yes
26,72329,569,22740,48 months,Unemployed,Mortgage,Yes,No
54,47632,660,49199,36 months,Employed,Mortgage,No,Yes
50,127099,556,13210,36 months,Self-Employed,Rented,Yes,No
59,85310,432,49363,24 months,Employed,Mortgage,Yes,Yes
61,129945,575,17743,12 months,Unemployed,Rented,No,No
41,75176,812,47092,48 months,Unemployed,Rented,No,Yes
32,139797,612,49299,36 months,Self-Employed,Mortgage,Yes,No
49,106066,583,11588,48 months,Employed,Mortgage,No,Yes
49,125500,420,8311,48 months,Self-Employed,Rented,No,Yes
41,146413,406,27432,36 months,Self-Employed,Rented,Yes,Yes
58,64327,503,38755,24 months,Unemployed,Mortgage,Yes,Yes
29,88904,464,8321,48 months,Employed,Mortgage,Yes,Yes
56,23797,604,20812,24 months,Employed,Rented,Yes,Yes
19,67882,796,42383,36 months,Employed,Rented,No,Yes
20,33718,455,18146,12 months,Employed,Rented,Yes,Yes
54,54560,666,18654,12 months,Self-Employed,Owned,Yes,No
34,96589,550,40820,48 months,Self-Employed,Rented,Yes,Yes
19,42116,633,5726,36 months,Unemployed,Owned,No,Yes
19,56244,810,8760,24 months,Self-Employed,Mortgage,Yes,No
45,121721,592,27190,48 months,Self-Employed,Mortgage,No,Yes
40,21645,319,6875,36 months,Unemployed,Rented,Yes,No
54,67523,581,28377,36 months,Unemployed,Mortgage,Yes,Yes
49,144085,300,9033,24 months,Unemployed,Mortgage,No,No
50,137718,418,43211,48 months,Self-Employed,Mortgage,Yes,No
18,39256,334,22373,36 months,Self-Employed,Mortgage,Yes,Yes
36,121376,497,8744,36 months,Unemployed,Owned,No,No
19,120158,784,29995,36 months,Unemployed,Owned,Yes,Yes
61,73173,358,21977,24 months,Unemployed,Rented,Yes,Yes
43,57430,460,37402,48 months,Self-Employed,Rented,Yes,Yes
49,59282,505,39542,48 months,Self-Employed,Rented,Yes,Yes
23,139719,311,15651,48 months,Employed,Mortgage,No,No
49,83374,789,38703,48 months,Self-Employed,Mortgage,Yes,Yes
21,88244,575,18395,12 months,Self-Employed,Owned,No,No
28,31694,541,34808,12 months,Self-Employed,Owned,Yes,No
34,76264,515,41576,48 months,Unemployed,Rented,No,Yes
55,95060,550,21715,24 months,Self-Employed,Owned,Yes,Yes
41,117416,425,49409,12 months,Unemployed,Owned,No,Yes
22,77545,516,29306,36 months,Employed,Owned,Yes,Yes
51,138195,605,24086,12 months,Employed,Owned,No,No
23,59224,484,19376,36 months,Unemployed,Owned,No,Yes
39,122516,338,10889,48 months,Unemployed,Rented,Yes,No
28,117945,522,42822,12 months,Unemployed,Rented,No,Yes
33,33224,483,41636,24 months,Self-Employed,Owned,Yes,Yes
50,60738,794,25584,12 months,Employed,Rented,Yes,Yes
26,45150,726,39610,12 months,Unemployed,Mortgage,Yes,Yes
23,83731,477,15058,12 months,Self-Employed,Owned,Yes,No
33,69688,727,14101,48 months,Employed,Mortgage,Yes,No
46,119929,593,17497,24 months,Self-Employed,Rented,No,Yes
20,128618,450,9658,12 months,Employed,Rented,Yes,No
37,93509,683,16381,24 months,Self-Employed,Mortgage,Yes,No
53,28577,607,45312,48 months,Employed,Rented,Yes,Yes
36,28070,635,45486,36 months,Employed,Owned,Yes,Yes
43,146161,674,22154,12 months,Self-Employed,Mortgage,Yes,No
20,28666,307,24539,24 months,Unemployed,Owned,Yes,No
36,77761,640,16777,24 months,Employed,Mortgage,No,No
37,141178,428,39396,48 months,Unemployed,Rented,No,No
49,56368,651,35373,12 months,Self-Employed,Mortgage,Yes,Yes
24,26783,657,38154,36 months,Unemployed,Mortgage,No,Yes
58,131530,816,11031,24 months,Unemployed,Owned,Yes,No
50,61914,794,32997,12 months,Unemployed,Rented,Yes,Yes
57,90507,385,11439,36 months,Unemployed,Owned,Yes,No
56,147738,474,27785,24 months,Unemployed,Rented,Yes,No
35,99026,492,18392,24 months,Employed,Owned,Yes,Yes
57,135893,610,33669,36 months,Employed,Mortgage,No,No
18,131255,418,33939,36 months,Employed,Owned,No,No
28,130616,517,7282,48 months,Self-Employed,Rented,No,Yes
45,87526,726,39624,12 months,Unemployed,Rented,No,Yes
42,90835,713,29364,12 months,Employed,Mortgage,Yes,No
40,65765,413,6998,48 months,Self-Employed,Rented,No,No
48,39956,444,36705,24 months,Employed,Owned,Yes,Yes
47,107895,837,43244,36 months,Employed,Mortgage,No,No
59,66240,602,14428,36 months,Unemployed,Rented,No,No
52,141008,644,42437,36 months,Self-Employed,Rented,No,Yes
24,57148,300,17336,24 months,Unemployed,Owned,No,Yes
33,114270,446,14342,36 months,Unemployed,Owned,Yes,Yes
43,147978,586,44832,36 months,Employed,Mortgage,No,Yes
19,24757,352,12446,48 months,Unemployed,Rented,No,Yes
18,39097,603,43392,24 months,Self-Employed,Owned,Yes,Yes
29,30395,368,12461,12 months,Unemployed,Mortgage,Yes,No
22,36241,660,39587,48 months,Unemployed,Rented,No,No
54,123892,519,15516,48 months,Unemployed,Rented,Yes,Yes
49,47696,460,18749,12 months,Employed,Mortgage,Yes,Yes
26,135654,388,22514,48 months,Self-Employed,Mortgage,Yes,No
58,90480,458,40426,24 months,Employed,Owned,No,No
52,66163,788,41268,36 months,Employed,Rented,Yes,No
36,39816,623,29950,24 months,Employed,Rented,No,Yes
33,69840,680,39888,12 months,Employed,Rented,No,Yes
20,122547,401,41788,12 months,Employed,Mortgage,No,No
37,72853,793,15213,48 months,Self-Employed,Owned,No,Yes
41,44917,318,41027,24 months,Unemployed,Rented,Yes,Yes
50,116731,753,33011,24 months,Employed,Mortgage,No,Yes
41,41566,781,47849,12 months,Employed,Rented,Yes,No
28,95452,696,39591,24 months,Self-Employed,Owned,No,No
25,82823,578,22858,12 months,Self-Employed,Rented,Yes,Yes
53,141392,664,23626,24 months,Unemployed,Owned,No,Yes
55,40806,630,18467,24 months,Self-Employed,Owned,Yes,Yes
57,95520,643,44758,24 months,Unemployed,Rented,No,Yes
37,21759,754,8134,12 months,Employed,Rented,No,Yes
52,146092,364,21743,48 months,Employed,Owned,Yes,No
42,61949,375,20434,24 months,Unemployed,Mortgage,No,Yes
52,112374,442,15233,12 months,Self-Employed,Owned,No,Yes
42,22482,772,6141,12 months,Unemployed,Rented,No,Yes
46,44442,716,23019,24 months,Self-Employed,Rented,Yes,No
35,53719,604,25384,24 months,Employed,Mortgage,No,No
63,78066,796,47903,48 months,Self-Employed,Owned,No,Yes
35,113501,590,41129,12 months,Unemployed,Owned,Yes,No
19,22079,401,27967,12 months,Unemployed,Owned,Yes,No
52,22717,566,45603,36 months,Employed,Rented,Yes,No
33,79676,302,16172,12 months,Self-Employed,Owned,Yes,No
58,47952,384,21390,48 months,Self-Employed,Mortgage,Yes,No
53,106444,627,8267,36 months,Self-Employed,Rented,No,No
50,62460,749,44332,36 months,Employed,Rented,No,Yes
21,110397,753,31167,36 months,Self-Employed,Owned,No,No
50,92847,520,26312,24 months,Unemployed,Mortgage,Yes,No
31,113607,453,32840,24 months,Self-Employed,Rented,No,Yes
38,109106,311,23990,12 months,Employed,Rented,Yes,Yes
37,38449,432,49179,36 months,Self-Employed,Owned,Yes,Yes
25,53536,603,10906,48 months,Self-Employed,Owned,No,Yes
24,84077,592,45379,24 months,Unemployed,Mortgage,Yes,No
20,58258,599,22297,48 months,Self-Employed,Owned,Yes,No
34,68302,342,7011,48 months,Unemployed,Mortgage,No,No
50,145937,642,49014,24 months,Unemployed,Rented,Yes,No
29,48865,625,16738,24 months,Employed,Mortgage,Yes,Yes
39,26645,797,33797,24 months,Unemployed,Mortgage,No,No
39,139771,663,16120,24 months,Unemployed,Mortgage,Yes,No
63,58000,726,13767,36 months,Employed,Rented,Yes,Yes
47,46737,320,27852,36 months,Unemployed,Owned,No,No
55,31485,706,18703,36 months,Employed,Rented,No,No
55,58565,635,5929,36 months,Self-Employed,Owned,No,No
62,45522,416,16951,12 months,Employed,Mortgage,No,No
25,139614,423,31039,36 months,Unemployed,Mortgage,Yes,Yes
44,85155,698,34504,24 months,Employed,Mortgage,Yes,Yes
44,75168,350,22438,48 months,Unemployed,Mortgage,No,Yes
51,72487,623,10744,36 months,Self-Employed,Mortgage,Yes,Yes
38,149948,440,23284,12 months,Employed,Owned,Yes,Yes
47,32342,769,47417,24 months,Self-Employed,Owned,No,No
50,60806,633,44748,48 months,Unemployed,Mortgage,No,No
45,68770,672,12069,48 months,Unemployed,Rented,Yes,Yes
64,98623,793,47359,36 months,Self-Employed,Rented,No,Yes
50,123177,838,24799,48 months,Employed,Mortgage,No,Yes
22,119785,455,38210,36 months,Employed,Owned,No,No
36,95629,590,33226,36 months,Unemployed,Rented,Yes,Yes
21,140993,443,9652,24 months,Self-Employed,Rented,No,No
52,72603,405,29323,24 months,Self-Employed,Rented,Yes,No
34,146944,719,47138,12 months,Employed,Mortgage,Yes,No
61,132726,301,12597,24 months,Employed,Rented,Yes,No
45,101974,389,42226,24 months,Employed,Rented,No,Yes
47,125947,644,11591,36 months,Self-Employed,Rented,No,No
46,46399,649,30833,24 months,Employed,Rented,No,No
63,148177,758,16826,36 months,Employed,Owned,No,Yes
23,105382,562,31417,36 months,Unemployed,Mortgage,No,No
52,101244,650,23693,24 months,Employed,Mortgage,Yes,No
58,129575,407,19138,12 months,Employed,Owned,Yes,No
54,135520,338,7169,12 months,Self-Employed,Owned,Yes,Yes
41,130904,458,23556,48 months,Self-Employed,Mortgage,No,No
46,96534,611,27052,48 months,Unemployed,Rented,Yes,No
63,75106,540,11313,24 months,Employed,Rented,Yes,Yes
48,132599,744,13315,12 months,Unemployed,Mortgage,No,Yes
52,50678,597,13036,36 months,Self-Employed,Rented,No,No
50,96218,335,36778,48 months,Unemployed,Owned,Yes,No
38,83230,383,32734,36 months,Self-Employed,Rented,Yes,Yes
49,134684,751,28173,48 months,Unemployed,Rented,No,No
40,94055,684,35403,24 months,Unemployed,Rented,No,Yes
50,76373,471,5785,12 months,Employed,Mortgage,No,No
20,51480,675,11139,48 months,Unemployed,Owned,No,Yes
35,105230,661,11344,12 months,Employed,Rented,Yes,No
42,88836,440,23800,36 months,Employed,Mortgage,Yes,Yes
59,92258,417,30372,24 months,Employed,Rented,No,Yes
48,59986,576,25538,12 months,Employed,Owned,Yes,Yes
20,44160,519,19973,24 months,Unemployed,Rented,Yes,Yes
57,105595,325,10619,12 months,Self-Employed,Owned,No,Yes
63,121358,820,39704,36 months,Self-Employed,Rented,Yes,No
41,99111,309,41575,36 months,Self-Employed,Owned,Yes,No
49,84929,677,44919,24 months,Unemployed,Rented,Yes,Yes
64,93506,451,47261,36 months,Employed,Owned,No,No
39,54911,348,32716,48 months,Self-Employed,Rented,No,No
40,107127,453,8236,12 months,Unemployed,Rented,Yes,No
19,51821,592,20848,36 months,Employed,Mortgage,No,No
44,95039,349,7352,48 months,Self-Employed,Mortgage,No,No
59,80535,830,6932,24 months,Employed,Owned,No,No
19,133453,359,15913,48 months,Self-Employed,Rented,Yes,Yes
43,104458,466,13556,24 months,Self-Employed,Owned,Yes,No
34,32175,501,26300,24 months,Self-Employed,Mortgage,No,No
57,139235,445,10498,12 months,Employed,Owned,Yes,No
50,74771,738,15582,12 months,Unemployed,Owned,Yes,Yes
26,126660,541,14569,48 months,Employed,Mortgage,Yes,No
60,147157,782,9857,12 months,Self-Employed,Rented,Yes,No
56,141300,407,5340,12 months,Employed,Owned,Yes,No
46,106925,525,48949,12 months,Unemployed,Mortgage,No,Yes
59,133374,731,21766,48 months,Employed,Rented,Yes,No
43,86358,718,31132,36 months,Unemployed,Mortgage,Yes,Yes
52,37327,754,13491,12 months,Unemployed,Owned,Yes,No
42,67057,459,5138,12 months,Employed,Rented,No,Yes
41,26150,822,5358,48 months,Self-Employed,Rented,No,Yes
30,24425,376,14714,36 months,Unemployed,Mortgage,No,Yes
24,143654,808,24840,12 months,Employed,Mortgage,Yes,No
53,36032,740,39395,24 months,Unemployed,Mortgage,No,Yes
62,22198,553,35654,48 months,Self-Employed,Rented,No,Yes
37,80500,619,30879,12 months,Employed,Rented,No,Yes
18,73394,562,20996,12 months,Employed,Owned,No,Yes
25,40079,673,42772,24 months,Employed,Rented,Yes,No
63,56220,466,31762,24 months,Self-Employed,Owned,No,No
33,61874,758,18283,48 months,Unemployed,Mortgage,No,No
31,33859,579,44420,48 months,Employed,Mortgage,Yes,No
29,70460,601,24554,24 months,Unemployed,Rented,Yes,Yes
40,51419,830,25219,48 months,Unemployed,Mortgage,No,No
32,138865,517,39919,24 months,Self-Employed,Mortgage,Yes,Yes
45,28705,401,14429,12 months,Employed,Rented,No,No
51,62880,587,49695,24 months,Unemployed,Owned,Yes,No
19,149838,466,44673,24 months,Employed,Rented,Yes,No
49,43236,335,24218,36 months,Employed,Owned,No,Yes
40,107955,652,17452,24 months,Self-Employed,Rented,Yes,No
39,105514,372,23951,24 months,Employed,Rented,No,No
42,123145,652,6307,36 months,Employed,Mortgage,Yes,No
39,35358,369,19852,48 months,Unemployed,Rented,No,Yes
39,119713,724,30232,36 months,Self-Employed,Rented,Yes,No
59,114914,816,40428,12 months,Employed,Owned,Yes,No
23,122870,727,48171,36 months,Unemployed,Mortgage,Yes,Yes
32,96918,838,31485,12 months,Self-Employed,Owned,Yes,Yes
60,139179,459,15238,48 months,Self-Employed,Owned,Yes,No
54,136243,448,43975,36 months,Unemployed,Mortgage,No,No
50,34596,529,6140,36 months,Unemployed,Mortgage,Yes,No
25,53572,366,29842,48 months,Unemployed,Mortgage,No,Yes
61,98757,680,31421,12 months,Unemployed,Rented,No,Yes
61,21279,357,6708,36 months,Unemployed,Mortgage,No,Yes
22,83197,558,8630,12 months,Employed,Mortgage,Yes,No
56,131496,641,24595,36 months,Employed,Mortgage,No,Yes
21,82516,429,15485,24 months,Self-Employed,Owned,Yes,No
23,27083,471,33308,36 months,Employed,Owned,No,Yes
62,140674,508,49789,48 months,Employed,Rented,No,Yes
49,140307,653,31086,48 months,Employed,Owned,No,Yes
47,146457,770,21859,12 months,Unemployed,Rented,No,No
64,129397,415,12684,36 months,Self-Employed,Owned,No,No
52,37771,563,30552,12 months,Self-Employed,Mortgage,Yes,No
57,49975,741,6207,12 months,Self-Employed,Owned,No,No
33,65648,847,6960,24 months,Self-Employed,Rented,No,Yes
30,145641,752,5557,24 months,Employed,Owned,Yes,No
59,68285,776,34689,48 months,Employed,Mortgage,Yes,Yes
47,39063,586,18893,12 months,Unemployed,Rented,Yes,No
36,87642,602,37272,48 months,Self-Employed,Mortgage,No,No
34,110093,610,5882,36 months,Employed,Mortgage,No,Yes
36,134390,507,42529,12 months,Employed,Rented,No,Yes
45,106143,745,43635,12 months,Unemployed,Mortgage,No,No
43,57599,354,34535,36 months,Unemployed,Mortgage,No,No
54,71920,311,17869,36 months,Unemployed,Owned,No,Yes
43,48529,699,12166,48 months,Employed,Mortgage,Yes,Yes
40,55954,814,17982,48 months,Employed,Mortgage,Yes,Yes
26,47856,841,45697,36 months,Unemployed,Mortgage,No,Yes
29,22573,536,43115,48 months,Self-Employed,Mortgage,No,Yes
18,98344,578,12269,36 months,Unemployed,Rented,No,No
18,55367,647,33064,12 months,Unemployed,Owned,No,No
64,122337,403,18527,12 months,Unemployed,Mortgage,No,No
51,126732,816,7454,24 months,Unemployed,Mortgage,Yes,No
49,119608,547,25878,12 months,Employed,Rented,Yes,Yes
42,80774,663,17991,36 months,Self-Employed,Mortgage,No,Yes
57,43752,620,7808,48 months,Unemployed,Rented,Yes,Yes
62,75029,585,44410,24 months,Self-Employed,Owned,No,No
18,37685,448,41593,48 months,Self-Employed,Owned,No,Yes
33,71693,383,41304,36 months,Self-Employed,Mortgage,No,Yes
56,136739,705,35386,12 months,Unemployed,Mortgage,Yes,No
22,75961,755,8802,24 months,Employed,Mortgage,Yes,No
39,126937,460,33753,36 months,Unemployed,Rented,No,No
46,144956,759,26083,24 months,Self-Employed,Mortgage,Yes,Yes
20,96908,849,23354,24 months,Self-Employed,Mortgage,Yes,Yes
29,145537,799,27190,12 months,Employed,Owned,No,No
43,146678,808,11142,36 months,Unemployed,Mortgage,Yes,No
33,94532,780,33398,48 months,Self-Employed,Owned,Yes,Yes
54,101994,413,46862,24 months,Employed,Mortgage,No,No
